h10 s; h10 e; h10 mid; h9 s; h9 e; h9 mid; h8 s; h8 e; h8 mid; N; b; aH; aN; tau ; Ro;  'PO PICHKAM'; 'Rm = myresult.Ro + myresult.aH * dH[i] + myresult.b * F;'
80,106667;77,973335;79,040001;103,039993;103,039993;103,039993;103,039993;103,039993;103,039993;2382,300537;0,456147990371216;0,00123411926360486;0,000191473738634856;3;0,000852833316850159;0,00074407
Time; Current; React; pdH; F
15904324,4163;1;0;-0,249620637972642 ; 0
15904324,4492;0,999911883691645;-8,75454581383828E-05;-0,5 ; -4,81409663810551E-07
15904324,4822;0,999947109534815;-5,14202807280206E-05;-0,749620637972642 ; -1,24707732204513E-06
15904324,5151;0,999841328604445;-0,000155903148606917;-1 ; -2,38825650805284E-06
15904324,5481;0,999312423952593;-0,000679813479923297;-1,25037936202736 ; -6,99628906560469E-06
15904324,5811;0,998624847905187;-0,00135562659627952;-1,5 ; -1,82094820243813E-05
15904324,614;0,998148833718521;-0,00181300682071495;-1,75037936202736 ; -3,56099476057292E-05
15904324,647;0,997972497833176;-0,00196639668795973;-2 ; -5,64379286738627E-05
15904324,6799;0,997884381392595;-0,00203057859811673;-2 ; -7,84172478742272E-05
15904324,7129;0,997954936479795;-0,00193625241142237;-2 ; -0,000100317028684974
15904324,7458;0,997919607367991;-0,00194945946332914;-2 ; -0,000121720911438203
15904324,7788;0,997813826437621;-0,00203326952751848;-2 ; -0,000143727901635039
15904324,8118;0,997884381392595;-0,00194062849179155;-2 ; -0,00016568505436335
15904324,8447;0,998025388298362;-0,0017795162668377;-2 ; -0,000186182126868146
15904324,8777;0,99800782694498;-0,0017790086442;-2 ; -0,000205843282001489
15904324,9106;0,998148833718521;-0,0016208209544073;-2 ; -0,000224555969374321
15904324,9436;0,998236950159102;-0,0015177105589288;-2 ; -0,000241867765323931
15904324,9766;0,998289840624287;-0,00145130390431514;-2 ; -0,000258219239213591
15904325,0095;0,998307505114076;-0,00142109946498636;-2 ; -0,000273958683019643
15904325,0425;0,998325169736091;-0,00139141205302029;-2 ; -0,000289380273381324
15904325,0754;0,998466176509631;-0,00123939877584145;-2 ; -0,000303720664386225
15904325,1084;0,998501402352802;-0,00119483462673275;-2 ; -0,000316984612609753
15904325,1414;0,998395621554658;-0,00129137534809742;-2 ; -0,000330490796727995
15904325,1743;0,998342731089472;-0,00133406950312076;-2 ; -0,000344673732163676
15904325,2073;0,998307505114076;-0,00135866936907969;-2 ; -0,000359226191840809
15904325,2402;0,998254614648891;-0,00140068912676306;-2 ; -0,000374056781612696
15904325,2732;0,998148833718521;-0,00149495986054382;-2 ; -0,000389638401508212
15904325,3062;0,998095943253335;-0,0015354290984726;-2 ; -0,000405916942850311
15904325,3391;0,998131169228732;-0,00148772892082349;-2 ; -0,000422064330541172
15904325,3721;0,998131169228732;-0,00147587454521036;-2 ; -0,000437891551994587
15904325,405;0,997919607367991;-0,00167525884872899;-2 ; -0,000454654286305577
15904325,438;0,99783149092741;-0,00174911560520385;-2 ; -0,000472922278777685
15904325,4709;0,997672819531854;-0,00189265913561498;-2 ; -0,000492282499769407
15904325,5039;0,997549374111695;-0,00199941557435279;-2 ; -0,000513032240231372
15904325,5369;0,996897127176092;-0,00263315343465731;-2 ; -0,00053780321504676
15904325,5698;0,996509229430008;-0,00299555129350093;-2 ; -0,000567899011768019
15904325,6028;0,996015550621327;-0,00345986871566395;-2 ; -0,000602579716513729
15904325,6357;0,995909769690956;-0,00353096360349259;-2 ; -0,000640042847764852
15904325,6687;0,995751098295401;-0,00365477438169015;-2 ; -0,000678656438138605
15904325,7017;0,995680646609061;-0,00368942420470386;-2 ; -0,000718099993242432
15904325,7346;0,995680646609061;-0,00365392687662824;-2 ; -0,000757377970926732
15904325,7676;0,995680646609061;-0,00361948306949289;-2 ; -0,000796344988820673
15904325,8005;0,995698207830216;-0,00356864380229061;-2 ; -0,000834673624759142
15904325,8335;0,995680646609061;-0,00355411810851325;-2 ; -0,000872699168426387
15904325,8665;0,995680646609061;-0,00352273288333138;-2 ; -0,000910404604575189
15904325,8994;0,995874543847786;-0,00329823993535494;-2 ; -0,000946525836329799
15904325,9324;0,995997989267945;-0,00314756975386588;-2 ; -0,000980625980435067
15904325,9653;0,996103770198315;-0,00301695716386674;-2 ; -0,00101300155704387
15904325,9983;0,996068441086512;-0,00302938707324318;-2 ; -0,00104473686969569
15904326,0313;0,996174222016882;-0,00290071493782174;-2 ; -0,00107573823193119
15904326,0642;0,996280002947253;-0,00277398497197301;-2 ; -0,00110515431591484
15904326,0972;0,996385783877623;-0,00264899201342317;-2 ; -0,0011331802986292
15904326,1301;0,996456338964823;-0,00256098080236478;-2 ; -0,00115985487437291
15904326,1631;0,996491564807993;-0,00250941182913555;-2 ; -0,0011857400153873
15904326,196;0,996544455273178;-0,00244091480880182;-2 ; -0,00121078411686038
15904326,229;0,996509229430008;-0,00246130877148532;-2 ; -0,0012355342057149
15904326,262;0,996456338964823;-0,00249907488303469;-2 ; -0,00126049569656214
15904326,2949;0,996509229430008;-0,00243067766112581;-2 ; -0,00128510865589565
15904326,3279;0,996667900825563;-0,00225744717083942;-2 ; -0,00130836848064358
15904326,3608;0,996667900825563;-0,00224500981387199;-2 ; -0,00133044080942797
15904326,3938;0,996667900825563;-0,00223262453863793;-2 ; -0,00135233839381011
15904326,4268;0,996615010360378;-0,00227317172584907;-2 ; -0,00137428625858426
15904326,4597;0,996615010360378;-0,00226033772176559;-2 ; -0,00139621650169924
